	target	text	sentiment
31	LOCATION1	  LOCATION1 is pretty bad with its stabbings muggings and general filth of the place 	-1
32	LOCATION1	  LOCATION1 is quite a nice area	1
33	LOCATION1	  LOCATION1 is the best by a long shot	1
34	LOCATION1	  LOCATION1 is the place, I love it	1
35	LOCATION1	  LOCATION1 isn't bad	1
36	LOCATION1	  LOCATION1 would be pretty good, it's a laid back spot and mostly locals	1
37	LOCATION1	  LOCATION1's a hole	-1
38	LOCATION1	  LOCATION1's a lovely town but very expensive	1
39	LOCATION1	  LOCATION1's nice and quite quiet	1
40	LOCATION1	  Lots of the better areas are expensive and definitely LOCATION1	1
41	LOCATION1	  The area South of LOCATION1  is also good	1
42	LOCATION2	  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable	1
43	LOCATION1	  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable	1
44	LOCATION1	  Try LOCATION1 or nearby	1
45	LOCATION1	  Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London	1
46	LOCATION2	  Try searching in  LOCATION1 or LOCATION2	1
47	LOCATION1	  Try searching in  LOCATION1 or LOCATION2	1
48	LOCATION1	  You may want to consider LOCATION1	1
49	LOCATION1	  i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE	1
50	LOCATION1	  really nice area is LOCATION2 or LOCATION1	1
51	LOCATION2	  really nice area is LOCATION2 or LOCATION1	1
52	LOCATION1	  try somewhere round LOCATION1	1
53	LOCATION1	 (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops	1
54	LOCATION2	 (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops	1
55	LOCATION1	 (try LOCATION1, if you haven't already seen it	1
56	LOCATION1	 , LOCATION2 and LOCATION1 might be good for you	1
57	LOCATION2	 , LOCATION2 and LOCATION1 might be good for you	1
58	LOCATION1	 Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts	1
59	LOCATION2	 Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts	1
60	LOCATION1	 As long as you can afford to live in LOCATION1, it's way nicer (:	1
61	LOCATION1	 Avoid LOCATION1 - it's super pricey	-1
62	LOCATION1	 Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London)	-1
63	LOCATION1	 For the most part, LOCATION1 is a nice area	1
64	LOCATION2	 Hmm LOCATION1 and LOCATION2 are improving areas	1
65	LOCATION1	 Hmm LOCATION1 and LOCATION2 are improving areas	1
66	LOCATION1	 I Live in LOCATION1 which is close to the center of town and is very nice in my opinion	1
67	LOCATION1	 I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now	1
68	LOCATION1	 I currently live in a very street, depressing, hood area of LOCATION1	-1
69	LOCATION1	 I do love LOCATION1 but unfortunately due to the increase in rent I will moving further out	1
70	LOCATION1	 I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London	1
71	LOCATION2	 I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it 	1
72	LOCATION1	 I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol	-1
73	LOCATION2	 I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol	1
74	LOCATION1	 I must say LOCATION1 is one of my favorite places and i'd love to live there	1
75	LOCATION2	 I recommend LOCATION1 or perhaps LOCATION2	1
76	LOCATION1	 I recommend LOCATION1 or perhaps LOCATION2	1
77	LOCATION1	 I sure as hell wouldn't wanna be stuck in a shithole like bloody LOCATION1	-1
78	LOCATION2	 I think LOCATION2 gets a raw deal because it's close to some dodgy areas like LOCATION1,  but actually it's alright, a bit of a hidden gem in fact	1
79	LOCATION1	 I would really recommend LOCATION1	1
80	LOCATION1	 I would say LOCATION1 but it may exceed your budget by a little but it is worth the move	1
81	LOCATION1	 I would say with the massive increase in supply around the area, and the amount of security they have LOCATION1 is your best bet  Don't waste your money	1
82	LOCATION2	 I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived	-1
83	LOCATION1	 I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived	-1
84	LOCATION1	 I would strongly recommend flats in the LOCATION1 as this area is growing quickly and many of the flats are newly built meaning the design will be quite modern as well  	1
85	LOCATION2	 I would suggest SE London, somewhere like LOCATION1 or LOCATION2 but it's been years I've lived in London	1
86	LOCATION1	 I would suggest SE London, somewhere like LOCATION1 or LOCATION2 but it's been years I've lived in London	1
87	LOCATION1	 I would suggest looking at the area around LOCATION2 or LOCATION1	1
88	LOCATION2	 I would suggest looking at the area around LOCATION2 or LOCATION1	1
89	LOCATION1	 I'd recommend LOCATION1 and you could easily connect onto the piccadilly line no problem and its cheaper than most areas in London	1
90	LOCATION1	 I'd recommend LOCATION2 or LOCATION1	1
91	LOCATION2	 I'd recommend LOCATION2 or LOCATION1	1
92	LOCATION2	 I've been to LOCATION1 and LOCATION2 which are bleak and unfriendly places in daylight	-1
93	LOCATION1	 I've been to LOCATION1 and LOCATION2 which are bleak and unfriendly places in daylight	-1
94	LOCATION1	 I've lived in the LOCATION1 for years and I love it - I wouldn't want to live anywhere else	1
95	LOCATION1	 I've never been to LOCATION1 - due to its reputation, mostly	-1
96	LOCATION1	 I've spent a lot of time in LOCATION1 and can confirm it's generally quite a deprived area and certainly not that safe after dark	-1
97	LOCATION1	 Keep well clear, LOCATION1's the pits  It's fine	-1
98	LOCATION1	 LOCATION1  has become a very popular area in London and is quite expensive	1
99	LOCATION1	 LOCATION1  is a nice area but probably a bit far away 	1
100	LOCATION1	 LOCATION1  is a pretty desirable area you will see what I mean	1
101	LOCATION1	 LOCATION1  is so nice	1
102	LOCATION1	 LOCATION1 = Yawn - over hyped, down trodden area - crime is high 	-1
103	LOCATION1	 LOCATION1 Good area, generally	1
104	LOCATION2	 LOCATION1 LOCATION2, both shite holes	-1
105	LOCATION1	 LOCATION1 LOCATION2, both shite holes	-1
106	LOCATION1	 LOCATION1 London aint exactly a dump just cause them germanz bombed here dey had 2 build alot of estates init	1
107	LOCATION1	 LOCATION1 ai n't too bad either	1
108	LOCATION1	 LOCATION1 can be a nice area - near the cemetery is good, but maybe too expensive for you	1
109	LOCATION1	 LOCATION1 in Kent is a lovely ancient market town with a good fast rail service to LOCATION2 	1
110	LOCATION2	 LOCATION1 in Kent or LOCATION2 in Kent might be worth a look	1
111	LOCATION1	 LOCATION1 in Kent or LOCATION2 in Kent might be worth a look	1
112	LOCATION2	 LOCATION1 in Northern London is nice and LOCATION2 is nice in the South	1
113	LOCATION1	 LOCATION1 in Northern London is nice and LOCATION2 is nice in the South	1
114	LOCATION1	 LOCATION1 in the east end is a very vibrant area for young hipster types , artists , musicians and people who love food - specifically Indian curry	1
115	LOCATION1	 LOCATION1 is a pleasent , up-market , vibrant , cosmopolitan , young professional area	1
116	LOCATION1	 LOCATION1 is a really nice area with good restaurants etc and again with good transport links (Jubilee line, Silverlink trains and Thameslink trains)	1
117	LOCATION2	 LOCATION1 is a shitt hole , LOCATION2 is ok but a bit out of the way 	1
118	LOCATION1	 LOCATION1 is a shitt hole , LOCATION2 is ok but a bit out of the way 	-1
119	LOCATION1	 LOCATION1 is different though- its a bit of a run down area so dont expect too much when you get there however the students take over most of it so you'll be safe enough	-1
120	LOCATION1	 LOCATION1 is fine	1
121	LOCATION1	 LOCATION1 is gorgeous and has the blend of uber rich and middle class , v	1
122	LOCATION1	 LOCATION1 is horrible yes it is in fact i was there last weekend I work in the LOCATION1 area , and within the last three weeks the owner of the sandwich shop directly opposite was murdered by a drug crazed ex-employee , and just yesterday , a man was shot dead INSIDE SE-One nightclub	-1
123	LOCATION1	 LOCATION1 is in my opinion is alot nicer than LOCATION1	1
124	LOCATION1	 LOCATION1 is middle class outer suburbs there 's some problems in the area with aimless bored youths 	-1
125	LOCATION1	 LOCATION1 is more upmarket than the residential area to the west towards and surrounding the High Rd	1
126	LOCATION1	 LOCATION1 is nice, with cinemas, shops and stuff	1
127	LOCATION1	 LOCATION1 is ok but aint that expensive well I dunno if your rich or not	1
128	LOCATION1	 LOCATION1 is one of the most desirable places to live in the whole of the world, beautiful area,  10 mins to LOCATION2	1
129	LOCATION1	 LOCATION1 is quite pleasant in general	1
130	LOCATION1	 LOCATION1 is really the only nice part of the borough of LOCATION1	1
131	LOCATION1	 LOCATION1 is the best part of the whole of London	1
132	LOCATION1	 LOCATION1 is very cheap compared to any where else but I have been warned not to go there	-1
133	LOCATION1	 LOCATION1 is very upmarket and many artists live there	1
134	LOCATION1	 LOCATION1 like LOCATION2 is a very desirable area full of character and atmosphere , but the property in these area 's are very expensive	1
135	LOCATION2	 LOCATION1 like LOCATION2 is a very desirable area full of character and atmosphere , but the property in these area 's are very expensive	1
136	LOCATION1	 LOCATION1 which is a lovely safe area 	1
137	LOCATION1	 LOCATION1 which is quite trendy and good if you like tennis	1
138	LOCATION1	 LOCATION1, SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	1
139	LOCATION1	 LOCATION1, it's quite hip'	1
140	LOCATION1	 LOCATION1~ cute villagey area, where loads of celebs live; very sweet shops, cafes etc 	1
141	LOCATION1	 LOCATION2 and LOCATION1 are nice	1
142	LOCATION2	 LOCATION2 and LOCATION1 are nice	1
143	LOCATION1	 LOCATION2 and LOCATION1, as mentioned by others, are good, but don't ignore the less obvious	1
144	LOCATION2	 LOCATION2 and LOCATION1, as mentioned by others, are good, but don't ignore the less obvious	1
145	LOCATION1	 LOCATION2 is central London so extremely expensive, LOCATION1 is often considered the coolest area of London	1
146	LOCATION2	 LOCATION2 is fine , not much happens there , LOCATION1 is SW London is better in every conceivable way	1
147	LOCATION1	 LOCATION2 is fine , not much happens there , LOCATION1 is SW London is better in every conceivable way	1
148	LOCATION1	 LOCATION2 is not as expensive as LOCATION1, but is still just as nice	1
149	LOCATION2	 LOCATION2 is not as expensive as LOCATION1, but is still just as nice	1
150	LOCATION1	 LOCATION2 is quite nice and not too bad as it borders on to LOCATION1 which is a very nice area	1
151	LOCATION2	 LOCATION2 is quite nice and not too bad as it borders on to LOCATION1 which is a very nice area	1
152	LOCATION2	 Lots of bars and restaurants in LOCATION2 You could go dog racing also, that is local and lots of fun I'd say that it's a nice area and not a particularly dangerous area to live,  I'd be wary of is just around  the LOCATION1 Lane Estate	1
153	LOCATION1	 Mikey LOCATION1 is a disgusting area	-1
154	LOCATION1	 Most of LOCATION1 is fine	1
155	LOCATION1	 NO offence to anyone who lives in LOCATION1, I personally would stay away from it	-1
156	LOCATION1	 One really nice area is LOCATION2 or LOCATION1	1
157	LOCATION2	 One really nice area is LOCATION2 or LOCATION1	1
158	LOCATION2	 Personally prefer LOCATION1 and LOCATION2 	1
159	LOCATION1	 Personally prefer LOCATION1 and LOCATION2 	1
160	LOCATION1	 Rent in LOCATION1 is reasonable for a relatively nice part of London	1
161	LOCATION1	 The town of LOCATION1 itself is beautiful, and I'd happily live there as its an upcoming, youngish area to live	1
162	LOCATION1	 There was recently an article in Time Out saying that LOCATION1 was the up and coming area	1
163	LOCATION1	 You will struggle to find something  affordable in a desirable area of LOCATION1 	1
164	LOCATION1	 a bit further out like LOCATION1 might satisfy you if you don't mind commuting	1
165	LOCATION2	 a nice area is LOCATION1 or LOCATION2	1
166	LOCATION1	 a nice area is LOCATION1 or LOCATION2	1
167	LOCATION1	 area around LOCATION2 is nice   middle class suburb with an arty feel, lots of open space otherwise try LOCATION1	1
168	LOCATION2	 area around LOCATION2 is nice   middle class suburb with an arty feel, lots of open space otherwise try LOCATION1	1
169	LOCATION1	 avoid LOCATION1,  the old tower blocks are gone but it's still not got a nice vibe there	-1
170	LOCATION1	 everytime I stay round a friends in LOCATION1the wLOCATION1dential area look really depressing and dull	-1
171	LOCATION1	 go for somewhere as close to LOCATION1 as possible as its generally safer	1
172	LOCATION1	 i have family in LOCATION1 and it is such a great place with the gardens  it is only 45 minutes by tube to central London	1
173	LOCATION1	 i live in London , to be honest ` LOCATION1 is not the best area	-1
174	LOCATION1	 i think LOCATION2 and LOCATION1 are pretty much no-go areas in Essex	-1
175	LOCATION2	 i think LOCATION2 and LOCATION1 are pretty much no-go areas in Essex	-1
176	LOCATION2	 i would try LOCATION1 or LOCATION2 as they are both in west London and are generally decent areas  and some of the cheapest property in London will be found around there	1
177	LOCATION1	 i would try LOCATION1 or LOCATION2 as they are both in west London and are generally decent areas  and some of the cheapest property in London will be found around there	1
178	LOCATION1	 i'm moving to LOCATION1 which is nicer but a lot more expensive	1
179	LOCATION1	 if you are poor LOCATION1 will be great,	-1
180	LOCATION1	 if you can afford it move to the LOCATION1 or LOCATION2, lovely little areas	1
181	LOCATION2	 if you can afford it move to the LOCATION1 or LOCATION2, lovely little areas	1
182	LOCATION1	 if you had a limitless budget somewhere like LOCATION1 is a great choice but it 's a very upmarket area and 	1
183	LOCATION1	 it is not that bad in LOCATION1	1
184	LOCATION2	 move to somewhere like LOCATION2/LOCATION1 youre not that far from the central	1
185	LOCATION1	 move to somewhere like LOCATION2/LOCATION1 youre not that far from the central	1
186	LOCATION1	 not all LOCATION1 is nice  	-1
187	LOCATION1	 out towards LOCATION1 places get affordable - these areas are quite 'green and nice', despite what people say	1
188	LOCATION1	 over here in E8 LOCATION1 things are just fine	1
189	LOCATION1	 places such as LOCATION1, which is south London are up and coming areas, that have quite a few council homes and nice area, it is very close to the London centre, only a few tube stops	1
190	LOCATION1	 to be honest I meant LOCATION1  end isn't exactly glamorous	-1
191	LOCATION1	 you absolutely have to check LOCATION1 out	1
192	LOCATION1	 you should maybe try LOCATION1 for convenience of travel and because of 2012 olympics	1
193	LOCATION1	 you will have no problems there LOCATION1 is a nice place	1
194	LOCATION1	( LOCATION1 is great for lazy Sunday morning walks )	1
195	LOCATION1	(No offence to anyone living there), we used to visit someone in LOCATION1 and it was SOOOOOOOOOOOO DEPRESSING	-1
196	LOCATION1	(avoid LOCATION1)	-1
197	LOCATION1	(highly recommended) LOCATION1	1
198	LOCATION1	) If you can afford to be close to London  consider LOCATION1 , its probably the nicest area within spitting distance of London	1
199	LOCATION2	) LOCATION1 and LOCATION2 are bloody gorgeous , ( but again , VERY expensive	1
200	LOCATION1	) LOCATION1 and LOCATION2 are bloody gorgeous , ( but again , VERY expensive	1
201	LOCATION1	, and LOCATION1 and LOCATION2, a bit further in on that side , but not very hip and happening, a bit drab	-1
202	LOCATION2	, and LOCATION1 and LOCATION2, a bit further in on that side , but not very hip and happening, a bit drab	-1
203	LOCATION2	< have you tried somewhere on the outskirts, like LOCATION1, or LOCATION2, ect	1
204	LOCATION1	< have you tried somewhere on the outskirts, like LOCATION1, or LOCATION2, ect	1
205	LOCATION2	A bit further out towards the suburbs are LOCATION1 and LOCATION2 which are pleasant areas 	1
206	LOCATION1	A bit further out towards the suburbs are LOCATION1 and LOCATION2 which are pleasant areas 	1
207	LOCATION1	A great place LOCATION1 Middx is not in London and is only a postal name as LOCATION2 is now Surrey -	1
208	LOCATION2	AND JUST TO LET YOU KNOW LOCATION1 AND LOCATION2 IS A BEAUTIFUL AREA WITH LOADS OF PRETTY GARDENS SQUARES AND PARKS BUT STILL REALLY URBAN AND FANCY  IT CAN GET NOISY BUT THATS PRETTY MUCH IT	1
209	LOCATION1	AND JUST TO LET YOU KNOW LOCATION1 AND LOCATION2 IS A BEAUTIFUL AREA WITH LOADS OF PRETTY GARDENS SQUARES AND PARKS BUT STILL REALLY URBAN AND FANCY  IT CAN GET NOISY BUT THATS PRETTY MUCH IT	1
210	LOCATION2	Add LOCATION1 and LOCATION2 as good areas	1
211	LOCATION1	Add LOCATION1 and LOCATION2 as good areas	1
212	LOCATION1	All in all I think either LOCATION2 or LOCATION1 are the worst areas I've ever been in  the east end of London 	-1
213	LOCATION2	All in all I think either LOCATION2 or LOCATION1 are the worst areas I've ever been in  the east end of London 	-1
214	LOCATION1	Alot of LOCATION1 is being redeveloped, so getting better and better	1
215	LOCATION2	Alright for some, LOCATION1 or LOCATION2 would be best 	1
216	LOCATION1	Alright for some, LOCATION1 or LOCATION2 would be best 	1
217	LOCATION2	Also  LOCATION2 which is  slightly more mixed demographic compared to the more affluent LOCATION1 but certainly up and coming, it has good amenities (on the Jubilee line which is very efficient and a Sainsburys)	1
218	LOCATION1	Also , nearby LOCATION1 is also great , they have a microbrewery that brews and sells its own beer on site	1
219	LOCATION1	Also LOCATION1 i like so much, but it's a bit more expensive  	1
220	LOCATION1	Also LOCATION2, although it's a bit of a train journey to work, the lifestyle is very good  LOCATION1 has a bit of a reputation	-1
221	LOCATION2	Also avoid LOCATION1 and LOCATION2	-1
222	LOCATION1	Also avoid LOCATION1 and LOCATION2	-1
223	LOCATION1	Also consider LOCATION1 as well - it's right next to Canada Water	1
224	LOCATION1	Also could look around LOCATION1 area but think thats more were the grad students go	1
225	LOCATION2	Also take a look at areas such as  LOCATION1 and LOCATION2	1
226	LOCATION1	Also take a look at areas such as  LOCATION1 and LOCATION2	1
227	LOCATION1	Also try LOCATION1, one of my favourite places in the capital  	1
228	LOCATION1	Also try LOCATION1, one of my favourite places in the capital , populated by a lot of wealthy people so as long as you have plenty of cash to pay the rent you should have a great time 	1
229	LOCATION1	Also, you might want to check out LOCATION1 - it's a posh area just North of the centre,  with nice upmarket pubs/cafes/delis 	1
230	LOCATION1	Alternatively move to somewhere like LOCATION2 ro LOCATION1 which isnt London but is still within 30 minutes 	1
231	LOCATION2	Alternatively move to somewhere like LOCATION2 ro LOCATION1 which isnt London but is still within 30 minutes 	1
232	LOCATION1	Although the area has a lacklustre reputation, the housing stock around LOCATION1 is not cheap at all	-1
233	LOCATION1	Another nice area is LOCATION1  	1
234	LOCATION1	Another nice little town close to LOCATION2 is LOCATION1	1
235	LOCATION1	Another option is LOCATION2 and LOCATION1 in Surrey	1
236	LOCATION2	Another option is LOCATION2 and LOCATION1 in Surrey	1
237	LOCATION1	Another place I would suggest is LOCATION1 which is just around the corner from St  Paul	1
238	LOCATION1	Another place that's great to go is LOCATION1	1
239	LOCATION1	Any LOCATION1 area is good	1
240	LOCATION1	Any where but LOCATION1, its rough and dangerous	-1
241	LOCATION1	Anyway , London is huge but LOCATION1 is probably your best bet 	1
242	LOCATION2	Anywhere BUT LOCATION1 or LOCATION2 	-1
243	LOCATION1	Anywhere BUT LOCATION1 or LOCATION2 	-1
244	LOCATION1	Anywhere around LOCATION1 is up and coming with the new Olympic village being built and its accompanying Westfiled shopping centre 	1
245	LOCATION1	Apart from the crime that goes on in LOCATION1, it has the whole amazing cultural vibe	1
246	LOCATION2	Areas of LOCATION1 are nice,  I would avoid LOCATION2 	-1
247	LOCATION1	Areas of LOCATION1 are nice,  I would avoid LOCATION2 	1
248	LOCATION1	Areas quite far North such as LOCATION1 are really nice 	1
249	LOCATION2	Areas such as LOCATION2 and LOCATION1 are pleasant but expensive	1
250	LOCATION1	Areas such as LOCATION2 and LOCATION1 are pleasant but expensive	1
251	LOCATION1	Around LOCATION1  is probably the best choice	1
252	LOCATION1	As LOCATION1 isnt on the tube, housing is a bit cheaper, and I think its fairly nice	1
253	LOCATION1	As a general rule, avoid certain areas of south London such as LOCATION1 and the LOCATION2 complex, which have bad reputations for drugs and gun crime	-1
254	LOCATION2	As a general rule, avoid certain areas of south London such as LOCATION1 and the LOCATION2 complex, which have bad reputations for drugs and gun crime	-1
255	LOCATION1	As others have said avoid LOCATION1 like the plague - its got no soul	-1
256	LOCATION1	As you earn more you can then decide more positively where to live when you start earning more Any where but LOCATION1, its rough and dangerous	-1
257	LOCATION1	Avoid LOCATION1	1
258	LOCATION1	Avoid LOCATION1 , near LOCATION2 is very nice to live ,	-1
259	LOCATION1	Avoid LOCATION1 - it's dirty, dangerous and grim	-1
260	LOCATION2	Avoid LOCATION1 and LOCATION2  Where will you be working	-1
261	LOCATION1	Avoid LOCATION1 and LOCATION2  Where will you be working	-1
262	LOCATION1	Avoid LOCATION1 as it is awash with criminals 	-1
263	LOCATION1	Avoid LOCATION1 as that is one of the rough, more deprived areas of London	-1
264	LOCATION1	Avoid LOCATION1 at all costs	-1
265	LOCATION1	Avoid LOCATION1 because it's dirtier and more dangerous, and be aware that there is a lot of council housing in the area 	-1
266	LOCATION1	Avoid LOCATION1 unless you are totally hardcore	-1
267	LOCATION1	Avoid LOCATION1, (where I come from), like the bloody Black Death	-1
268	LOCATION2	Avoid LOCATION2 and LOCATION1 because there's alot of crime in these areas	-1
269	LOCATION1	Avoid LOCATION2 and LOCATION1 because there's alot of crime in these areas	-1
270	LOCATION1	Avoid the area around LOCATION1 like the plague	-1
271	LOCATION1	Basically yes there are places to that are leafy and fairly quiet but no where will ever be as quiet as outside London LOCATION1 is okay	1
272	LOCATION1	Because the LOCATION1 area was built so fast you will find it lacks character as buildings and houses were built so fast and the majority were made to the same specification	-1
273	LOCATION2	Better areas include LOCATION1 and LOCATION2 for instance	1
274	LOCATION1	Better areas include LOCATION1 and LOCATION2 for instance	1
275	LOCATION1	Bottom line, if you are either looking for a house to live in or as an investment, I recommend LOCATION1, BIG TIME	1
276	LOCATION1	But I reckon LOCATION1 is the way to go 	1
277	LOCATION1	But I think LOCATION1 is a good bet	1
278	LOCATION1	But I wouldn't choose LOCATION1	-1
279	LOCATION1	But LOCATION1 is one big dump I do n't know where you got that information from , but it 's not true	-1
280	LOCATION1	But all across LOCATION1 there are very nice suburbs , too many to mention	1
281	LOCATION1	But aside from this image you'll find LOCATION1 to be on balance a prosperous and youthful town	1
282	LOCATION2	But avoid the immediate areas around LHR, inc; LOCATION1, LOCATION2, 	-1
283	LOCATION1	But avoid the immediate areas around LHR, inc; LOCATION1, LOCATION2, 	-1
284	LOCATION1	But most of LOCATION1 is worth avoiding  the living conditions are quite bad, it is a deprived area 	-1
285	LOCATION1	But yes , for further into London , LOCATION1 is a great area 	1
286	LOCATION1	By London Standards LOCATION1 is a cheap area , mostly because it 's a pretty run down area	-1
287	LOCATION1	Certainly both LOCATION1 and LOCATION2 have very nice parts which are very expensive to live in	1
288	LOCATION2	Certainly both LOCATION1 and LOCATION2 have very nice parts which are very expensive to live in	1
289	LOCATION1	Check out LOCATION1 (zone 4)	1
290	LOCATION1	Come to think of it , LOCATION1 is a great location	1
291	LOCATION1	Could try LOCATION1 as well 	1
292	LOCATION1	Could try LOCATION1 as well My hometown is LOCATION2	1
293	LOCATION2	Definately not LOCATION2, but poosssibly LOCATION1	-1
294	LOCATION1	Definately not LOCATION2, but poosssibly LOCATION1	1
295	LOCATION1	Definitely recommend LOCATION1	1
296	LOCATION1	Defo LOCATION1	1
297	LOCATION1	Do n't be afraid of London - it is no different from any other London South London and LOCATION1 are the most notorious	-1
298	LOCATION1	Do n't expect much night life  LOCATION1 is very handy and full of beauty and life 	1
299	LOCATION1	Do n't stray too far towards LOCATION1 ( which would n't even happen by walking as it 's still quite a bit away ) I actually think LOCATION1 is a bit of a hidden gem	1
300	LOCATION1	Don't hang about LOCATION1 that's not a nice place to be about at	-1
301	LOCATION1	Don't live in the LOCATION2 Naaa, theres nothing wrong with LOCATION1	1
302	LOCATION2	Dont go LOCATION2 to stay,  you will seriously find LOCATION1 a lot richer and  with the great transport links	-1
303	LOCATION1	Eg i wouldnt move to LOCATION1	-1
304	LOCATION1	Enjoy LOCATION1 is free nice park lots goin on	1
305	LOCATION1	Enjoy your time in LOCATION1, it really is a fantastic and historical part of the World	1
306	LOCATION1	Even LOCATION1 has nice bits	1
307	LOCATION2	Even then avoid LOCATION1,LOCATION2 	-1
308	LOCATION1	Even then avoid LOCATION1,LOCATION2 	-1
309	LOCATION1	Even tho i have bare mates from LOCATION1 and I used to hang around alot, it is still queit a bad part of the town	-1
310	LOCATION1	For the most part, LOCATION1 is a nice area	1
311	LOCATION2	Forget LOCATION1 and the whole of LOCATION2	-1
312	LOCATION1	Forget LOCATION1 and the whole of LOCATION2	-1
313	LOCATION1	Forget LOCATION1 there are very few residential places there and those that are will be highly expensive because its so central its not even a very nice area	-1
314	LOCATION1	Frankly I'm not a fan of LOCATION1 - though LOCATION2 is always a good option, with excellent local schools and wonderful shopping	-1
315	LOCATION2	Frankly I'm not a fan of LOCATION1 - though LOCATION2 is always a good option, with excellent local schools and wonderful shopping	1
316	LOCATION1	From the Tudor period onwards , LOCATION1 became a popular recreation and leisure destination for wealthy Londoners	1
317	LOCATION1	From the list maybe LOCATION1 would be good	1
318	LOCATION1	Further out , LOCATION1 and LOCATION2 are quite lively	1
319	LOCATION2	Further out , LOCATION1 and LOCATION2 are quite lively	1
320	LOCATION1	Further out of the centre you have LOCATION1 which is a pretty decent place, but I would advise staying clear of LOCATION2	1
321	LOCATION2	Further out of the centre you have LOCATION1 which is a pretty decent place, but I would advise staying clear of LOCATION2	-1
322	LOCATION1	Generally , LOCATION1 is your best bet - but it really depends on your budget	1
323	LOCATION1	Generally, I would not recommend LOCATION1, unless have really BIG budget 	-1
324	LOCATION1	Giving LOCATION1 a very wide berth might be your best course of action	1
325	LOCATION1	Go to LOCATION1 and to LOCATION2	1
326	LOCATION2	Go to LOCATION1 and to LOCATION2	1
327	LOCATION2	Good luck  I would suggest looking at LOCATION1 or LOCATION2	1
328	LOCATION1	Good luck  I would suggest looking at LOCATION1 or LOCATION2	1
329	LOCATION1	Good luck LOCATION1 is quite a nice area to work	1
330	LOCATION1	Great location  LOCATION1	1
331	LOCATION1	Great places are LOCATION2 and LOCATION1	1
