	Unnamed: 0	target	text	sentiment	target_text
3247	1191	performance	Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	1	Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance. [SEP] performance
3253	1197	OS	The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.	1	The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly. [SEP] OS
3432	1376	service rep	I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!	0	I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!! [SEP] service rep
962	962	LOCATION1	Sadly I no longer live in London but I'd probably look at LOCATION1 if I was going back 	1	Sadly I no longer live in London but I'd probably look at LOCATION1 if I was going back  [SEP] LOCATION1
5710	3654	price	Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).	1	Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price). [SEP] price
3178	1122	webcam	It even has a great webcam, and Skype works very well.	1	It even has a great webcam, and Skype works very well. [SEP] webcam
3343	1287	Touchpad	The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.	-1	The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet. [SEP] Touchpad
3203	1147	keyboard	The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	1	The screen is nice and the images comes very clear, the keyboard and the fit just feels right. [SEP] keyboard
4026	1970	basil	The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.	1	The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY. [SEP] basil
304	304	LOCATION1	Enjoy LOCATION1 is free nice park lots goin on	1	Enjoy LOCATION1 is free nice park lots goin on [SEP] LOCATION1
3716	1660	service	The service, wine selection, ambiance are all outstanding and deserve recognition.	1	The service, wine selection, ambiance are all outstanding and deserve recognition. [SEP] service
4861	2805	steak	The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.	1	The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch. [SEP] steak
2165	109	security	It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.	1	It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag. [SEP] security
3932	1876	pot-stickers	We had the pot-stickers which were great and a tempura dish that was great.	1	We had the pot-stickers which were great and a tempura dish that was great. [SEP] pot-stickers
1285	1285	LOCATION1	LOCATION1 i kno it is just outside London but is nice 	1	LOCATION1 i kno it is just outside London but is nice  [SEP] LOCATION1
1120	1120	LOCATION1	but i also recommend LOCATION1, it's very nice and that's where a high proportion of canadians live 	1	but i also recommend LOCATION1, it's very nice and that's where a high proportion of canadians live  [SEP] LOCATION1
6016	3960	decor	However, if you want great food at a great price and don't mind the decor, you can't beat this place.	-1	However, if you want great food at a great price and don't mind the decor, you can't beat this place. [SEP] decor
2	2	LOCATION1	  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in	-1	  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in [SEP] LOCATION1
710	710	LOCATION1	LOCATION1 is n't too great	-1	LOCATION1 is n't too great [SEP] LOCATION1
2986	930	battery	The battery holds up well, it's built very solidly, and runs fast.	1	The battery holds up well, it's built very solidly, and runs fast. [SEP] battery
3549	1493	food	The wait staff is friendly, and the food has gotten better and better!	1	The wait staff is friendly, and the food has gotten better and better! [SEP] food
4474	2418	tables	In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.	-1	In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby. [SEP] tables
5168	3112	view	The view is spectacular, and the food is great.	1	The view is spectacular, and the food is great. [SEP] view
5121	3065	service	The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.	1	The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed. [SEP] service
608	608	LOCATION1	LOCATION1 is a dump	-1	LOCATION1 is a dump [SEP] LOCATION1
3476	1420	ingredients	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	-1	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it. [SEP] ingredients
3386	1330	handle	This computer was so challenging to carry and handle.	-1	This computer was so challenging to carry and handle. [SEP] handle
2198	142	power supply	The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.	-1	The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues. [SEP] power supply
4434	2378	food	The food is great and they have a good selecion of wines at reasonable prices.	1	The food is great and they have a good selecion of wines at reasonable prices. [SEP] food
572	572	LOCATION1	LOCATION1 and the surrounding area is becoming more popular, but I still wouldn't choose to live there	1	LOCATION1 and the surrounding area is becoming more popular, but I still wouldn't choose to live there [SEP] LOCATION1
2531	475	Windows	I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.	-1	I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges. [SEP] Windows
5893	3837	dinner	I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!	0	I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place! [SEP] dinner
1571	1571	LOCATION1	 theres nothing wrong with LOCATION1	1	 theres nothing wrong with LOCATION1 [SEP] LOCATION1
3681	1625	ceviche mix (special)	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	1	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. [SEP] ceviche mix (special)
4712	2656	Service	Service was good and food is wonderful.	1	Service was good and food is wonderful. [SEP] Service
5971	3915	lazy susans	If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.	1	If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here. [SEP] lazy susans
3382	1326	Internet tabs	Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.	1	Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously. [SEP] Internet tabs
4683	2627	sauce	It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).	-1	It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red). [SEP] sauce
2995	939	driver	Every driver on the drivers/applications DVD is everything you will need for a reload.	1	Every driver on the drivers/applications DVD is everything you will need for a reload. [SEP] driver
3450	1394	mac osx	previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.	1	previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system. [SEP] mac osx
1256	1256	LOCATION1	Id suggest LOCATION1 is an area on the up , the main high street seem to be thriving these days so you might find good value	1	Id suggest LOCATION1 is an area on the up , the main high street seem to be thriving these days so you might find good value [SEP] LOCATION1
5841	3785	pictures	I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.	1	I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures. [SEP] pictures
2603	547	webpages	The processor is very quick and effective as I load webpages and applications.	0	The processor is very quick and effective as I load webpages and applications. [SEP] webpages
1720	1720	LOCATION1	If anything LOCATION1 is the scum of all scum places	-1	If anything LOCATION1 is the scum of all scum places [SEP] LOCATION1
2051	2051	LOCATION2	the most decent places are  LOCATION2 and LOCATION1	1	the most decent places are  LOCATION2 and LOCATION1 [SEP] LOCATION2
568	568	LOCATION2	LOCATION1 and LOCATION2 both gorgeous places to be in because they are affluent areas	1	LOCATION1 and LOCATION2 both gorgeous places to be in because they are affluent areas [SEP] LOCATION2
1248	1248	LOCATION2	I would stay away from LOCATION2 or LOCATION1 just because I have heard of people being bothered quite a bit there	-1	I would stay away from LOCATION2 or LOCATION1 just because I have heard of people being bothered quite a bit there [SEP] LOCATION2
2657	601	iPhotos	iPhotos is an excellent program for storing and organizing photos.	1	iPhotos is an excellent program for storing and organizing photos. [SEP] iPhotos
2378	322	design	After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.	1	After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues. [SEP] design
344	344	LOCATION1	I 've heard LOCATION1 in LOCATION2 is n't bad either	1	I 've heard LOCATION1 in LOCATION2 is n't bad either [SEP] LOCATION1
5159	3103	room	We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.	0	We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty. [SEP] room
2210	154	base installation	Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.	-1	Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking. [SEP] base installation
3030	974	standard os cd	can't reinstall with standard os cd because of proprietary hardware drivers.	-1	can't reinstall with standard os cd because of proprietary hardware drivers. [SEP] standard os cd
5462	3406	fast food	By far the best salad I have had in a fast food restaurant.	0	By far the best salad I have had in a fast food restaurant. [SEP] fast food
1157	1157	LOCATION2	right near the shithole which is LOCATION2  LOCATION1 is quite nice 	-1	right near the shithole which is LOCATION2  LOCATION1 is quite nice  [SEP] LOCATION2
4869	2813	place	No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.	1	No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown. [SEP] place
5430	3374	chicken with portobello mushrooms	The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.	-1	The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce. [SEP] chicken with portobello mushrooms
2408	352	switchable graphic card	The switchable graphic card is pretty sweet when you want gaming on the laptop.	1	The switchable graphic card is pretty sweet when you want gaming on the laptop. [SEP] switchable graphic card
3126	1070	graphics	The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly.	1	The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly. [SEP] graphics
2951	895	display	In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.	-1	In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display. [SEP] display
1451	1451	LOCATION1	having lived in the LOCATION1 for a while  I have found that it can be a lovely area	1	having lived in the LOCATION1 for a while  I have found that it can be a lovely area [SEP] LOCATION1
1851	1851	LOCATION1	LOCATION1 is rubbish at the mo because the Olympics are causing disruption already with loads of building work	-1	LOCATION1 is rubbish at the mo because the Olympics are causing disruption already with loads of building work [SEP] LOCATION1
5237	3181	aisle	It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.	-1	It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle. [SEP] aisle
71	71	LOCATION2	 I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it 	1	 I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it  [SEP] LOCATION2
817	817	LOCATION1	LOCATION2  I'd opt for the really posh areas like LOCATION2, LOCATION1 etc but they are obviously extremely expensive so it depends on your budget	1	LOCATION2  I'd opt for the really posh areas like LOCATION2, LOCATION1 etc but they are obviously extremely expensive so it depends on your budget [SEP] LOCATION1
6047	3991	rice	It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.	0	It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand. [SEP] rice
196	196	LOCATION1	(avoid LOCATION1)	-1	(avoid LOCATION1) [SEP] LOCATION1
427	427	LOCATION1	I think the LOCATION2/LOCATION1 area would be absolutely perfect for you	1	I think the LOCATION2/LOCATION1 area would be absolutely perfect for you [SEP] LOCATION1
2634	578	programs	Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.	1	Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior. [SEP] programs
2609	553	battery life	Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	1	Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work. [SEP] battery life
4566	2510	cost	This place must have cost the owners afortune to build.	-1	This place must have cost the owners afortune to build. [SEP] cost
1229	1229	LOCATION1	I live in LOCATION1 area and it is really a great place	1	I live in LOCATION1 area and it is really a great place [SEP] LOCATION1
4422	2366	bar	But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.	-1	But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'. [SEP] bar
3043	987	camera	I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.	0	I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased. [SEP] camera
70	70	LOCATION1	 I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London	1	 I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London [SEP] LOCATION1
5664	3608	bill	The waiters are sweet, the food is tasty and the bill is never too large.	1	The waiters are sweet, the food is tasty and the bill is never too large. [SEP] bill
4660	2604	ambience	The food was amazing, the service was so attentive and personable, and how about that ambience!	1	The food was amazing, the service was so attentive and personable, and how about that ambience! [SEP] ambience
900	900	LOCATION1	May I suggest you look at LOCATION1	1	May I suggest you look at LOCATION1 [SEP] LOCATION1
390	390	LOCATION1	I live in LOCATION1, and  I wouldn't advice you to consider it	-1	I live in LOCATION1, and  I wouldn't advice you to consider it [SEP] LOCATION1
5149	3093	kebabs	The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.	1	The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed. [SEP] kebabs
1187	1187	LOCATION1	Although there are nice sections of LOCATION2 with great amenities, LOCATION1 seems to be the up and coming nicer areas	1	Although there are nice sections of LOCATION2 with great amenities, LOCATION1 seems to be the up and coming nicer areas [SEP] LOCATION1
1118	1118	LOCATION2	belgravia- a fashionable residential LOCATION1southwest of London,   LOCATION2  is a nice, safe, posh arty area	1	belgravia- a fashionable residential LOCATION1southwest of London,   LOCATION2  is a nice, safe, posh arty area [SEP] LOCATION2
4721	2665	food	Service and food is what any one would expect when spending that type of money.	0	Service and food is what any one would expect when spending that type of money. [SEP] food
1834	1834	LOCATION1	LOCATION1 is ok a little built up now , but very expensive LOCATION2 is brilliant	1	LOCATION1 is ok a little built up now , but very expensive LOCATION2 is brilliant [SEP] LOCATION1
5709	3653	sandwiches	Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).	-1	Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price). [SEP] sandwiches
5134	3078	spot	This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.	1	This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive. [SEP] spot
4573	2517	table	It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.	-1	It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime. [SEP] table
580	580	LOCATION1	LOCATION1 has a bad reputation because of the riots that went on there during the 80 's and because so many different cultures live there	-1	LOCATION1 has a bad reputation because of the riots that went on there during the 80 's and because so many different cultures live there [SEP] LOCATION1
646	646	LOCATION1	LOCATION1 is also very nice , and the town centre is a bit quieter and less dirty than the LOCATION1	1	LOCATION1 is also very nice , and the town centre is a bit quieter and less dirty than the LOCATION1 [SEP] LOCATION1
5886	3830	food	The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!	1	The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second! [SEP] food
996	996	LOCATION2	The best areas by far are the aforementioned LOCATION2 and also LOCATION1 (which straddles the boundary of the two boroughs)	1	The best areas by far are the aforementioned LOCATION2 and also LOCATION1 (which straddles the boundary of the two boroughs) [SEP] LOCATION2
2088	32	warranty	"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."	-1	"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready""). [SEP] warranty"
823	823	LOCATION1	LOCATION2 and LOCATION1 are both LOCATION1 adn neither are particularly pleasant , nor do they have easily accessible pleasant areas to live in	-1	LOCATION2 and LOCATION1 are both LOCATION1 adn neither are particularly pleasant , nor do they have easily accessible pleasant areas to live in [SEP] LOCATION1
5047	2991	drinks	We only ordered desserts and drinks, but no refills were offered.	0	We only ordered desserts and drinks, but no refills were offered. [SEP] drinks
4037	1981	roasted tomato soup with chevre	I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.	1	I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous. [SEP] roasted tomato soup with chevre
1922	1922	LOCATION2	Nicest areas are LOCATION2, LOCATION1, zone 1s	1	Nicest areas are LOCATION2, LOCATION1, zone 1s [SEP] LOCATION2
5382	3326	portions	I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.	-1	I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal. [SEP] portions
5491	3435	buttery and tender langostine entree	From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.	1	From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing. [SEP] buttery and tender langostine entree
5885	3829	rose special roll	Try the lobster teriyaki and the rose special roll.	1	Try the lobster teriyaki and the rose special roll. [SEP] rose special roll
5092	3036	selection of wine	Great selection of wine, and seafood.	1	Great selection of wine, and seafood. [SEP] selection of wine
4190	2134	glass front	However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.	-1	However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup. [SEP] glass front
3221	1165	power supply	and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.	1	and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself. [SEP] power supply
5738	3682	food	The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.	1	The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly. [SEP] food
1570	1570	LOCATION1	 there are some parts of LOCATION1 that are nice and VERY quiet	1	 there are some parts of LOCATION1 that are nice and VERY quiet [SEP] LOCATION1
4	4	LOCATION1	  I dont like LOCATION1 at all	-1	  I dont like LOCATION1 at all [SEP] LOCATION1
4134	2078	lunch	It's a great place to pick up a cheap lunch or dinner.	1	It's a great place to pick up a cheap lunch or dinner. [SEP] lunch
1711	1711	LOCATION1	I've lived in LOCATION2/LOCATION1 area for about a year now and I absolutely love it here	1	I've lived in LOCATION2/LOCATION1 area for about a year now and I absolutely love it here [SEP] LOCATION1
5278	3222	food	The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	0	The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like. [SEP] food
330	330	LOCATION1	Great location  LOCATION1	1	Great location  LOCATION1 [SEP] LOCATION1
6054	3998	table	A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.	0	A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order. [SEP] table
2678	622	stand	I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.	0	I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink. [SEP] stand
2158	102	speed	Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.	1	Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity. [SEP] speed
4478	2422	tapas	The wine is always good, the tapas are always yummy, especially with the warm pita bread.	1	The wine is always good, the tapas are always yummy, especially with the warm pita bread. [SEP] tapas
4792	2736	dishes	Excellent atmosphere, delicious dishes good and friendly service.	1	Excellent atmosphere, delicious dishes good and friendly service. [SEP] dishes
