	Unnamed: 0	target	text	sentiment	target_text
3279	1223	brightness	The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.	0	The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness. [SEP] brightness
5665	3609	menu	We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food.	1	We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food. [SEP] menu
2874	818	monitor	Good monitor and performed well.	1	Good monitor and performed well. [SEP] monitor
4188	2132	management	However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.	0	However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup. [SEP] management
5142	3086	dining	Scalina Fedeli reminded me why service is so integral to fine dining.	1	Scalina Fedeli reminded me why service is so integral to fine dining. [SEP] dining
509	509	LOCATION1	If you want slightly nicer  look at homes in LOCATION1	1	If you want slightly nicer  look at homes in LOCATION1 [SEP] LOCATION1
4473	2417	reservations	In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.	-1	In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby. [SEP] reservations
1876	1876	LOCATION1	LOCATION1 would probably be your best bet as it 's close to the east end so there are lots of bars and clubs	1	LOCATION1 would probably be your best bet as it 's close to the east end so there are lots of bars and clubs [SEP] LOCATION1
1213	1213	LOCATION2	I also like LOCATION2 and LOCATION1 , it 's very vibrant	1	I also like LOCATION2 and LOCATION1 , it 's very vibrant [SEP] LOCATION2
118	118	LOCATION1	 LOCATION1 is a shitt hole , LOCATION2 is ok but a bit out of the way 	-1	 LOCATION1 is a shitt hole , LOCATION2 is ok but a bit out of the way  [SEP] LOCATION1
4370	2314	pho	Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.	1	Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables. [SEP] pho
3521	1465	table	After really enjoying ourselves at the bar we sat down at a table and had dinner.	0	After really enjoying ourselves at the bar we sat down at a table and had dinner. [SEP] table
1565	1565	LOCATION2	 if your budget is big enough, try and get a place in LOCATION1/LOCATION2 etc  It really depends on budget	1	 if your budget is big enough, try and get a place in LOCATION1/LOCATION2 etc  It really depends on budget [SEP] LOCATION2
5944	3888	fondue	The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.	1	The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling. [SEP] fondue
2445	389	extended warranties	They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.	0	They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore. [SEP] extended warranties
1151	1151	LOCATION2	parts of LOCATION2 and LOCATION1 are poor areas and i'm not willing to go there	-1	parts of LOCATION2 and LOCATION1 are poor areas and i'm not willing to go there [SEP] LOCATION2
5418	3362	entrees	Had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.	0	Had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip. [SEP] entrees
128	128	LOCATION1	 LOCATION1 is one of the most desirable places to live in the whole of the world, beautiful area,  10 mins to LOCATION2	1	 LOCATION1 is one of the most desirable places to live in the whole of the world, beautiful area,  10 mins to LOCATION2 [SEP] LOCATION1
1882	1882	LOCATION2	LOCATION1, up-market, posh and expensive; LOCATION2 down-market, cheap and shabby	-1	LOCATION1, up-market, posh and expensive; LOCATION2 down-market, cheap and shabby [SEP] LOCATION2
1	1	LOCATION2	  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice 	1	  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice  [SEP] LOCATION2
5125	3069	cheese	(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.	-1	(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine. [SEP] cheese
1600	1600	LOCATION2	Also LOCATION1 and LOCATION2 aren't that bad tho' they are much more expensive than they used to be	1	Also LOCATION1 and LOCATION2 aren't that bad tho' they are much more expensive than they used to be [SEP] LOCATION2
5398	3342	food	Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.	-1	Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up. [SEP] food
1433	1433	LOCATION1	You could also look at LOCATION1 in Surrey which is about 20 minutes to LOCATION2 	1	You could also look at LOCATION1 in Surrey which is about 20 minutes to LOCATION2  [SEP] LOCATION1
1432	1432	LOCATION1	Well , LOCATION1 is pretty dreadful	-1	Well , LOCATION1 is pretty dreadful [SEP] LOCATION1
5049	2993	brunch	I have been here a few times for dinner, once for brunch and twice for lunch.	0	I have been here a few times for dinner, once for brunch and twice for lunch. [SEP] brunch
4312	2256	capex	While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.	1	While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city. [SEP] capex
2690	634	programs	I have Vista, so I am unable to install and uninstall  some programs.	-1	I have Vista, so I am unable to install and uninstall  some programs. [SEP] programs
161	161	LOCATION1	 The town of LOCATION1 itself is beautiful, and I'd happily live there as its an upcoming, youngish area to live	1	 The town of LOCATION1 itself is beautiful, and I'd happily live there as its an upcoming, youngish area to live [SEP] LOCATION1
5746	3690	assortment of fish	Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.	0	Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc. [SEP] assortment of fish
3662	1606	sides	Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.	1	Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill. [SEP] sides
1444	1444	LOCATION1	Your other options is to go north - LOCATION1, say	1	Your other options is to go north - LOCATION1, say [SEP] LOCATION1
694	694	LOCATION1	LOCATION1 is just plain bad value for money - it 's a nice enough area , but you 'd pay the same money for a shoebox there as what you 'd pay for a good room in other places	1	LOCATION1 is just plain bad value for money - it 's a nice enough area , but you 'd pay the same money for a shoebox there as what you 'd pay for a good room in other places [SEP] LOCATION1
3145	1089	mother board	I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!	-1	I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS! [SEP] mother board
3296	1240	mouse pad	However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.	1	However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad. [SEP] mouse pad
5593	3537	steak with portobello mushrooms	this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.	1	this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday. [SEP] steak with portobello mushrooms
3320	1264	screen	I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.	0	I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen. [SEP] screen
2560	504	processor	The processor went on me, the fan went and the motherboard went.	-1	The processor went on me, the fan went and the motherboard went. [SEP] processor
3833	1777	food	When going out for a nice dinner, I like a nice ambiance as well as very good food.	1	When going out for a nice dinner, I like a nice ambiance as well as very good food. [SEP] food
1996	1996	LOCATION1	Try LOCATION1	1	Try LOCATION1 [SEP] LOCATION1
1512	1512	LOCATION1	 I would therefore pick LOCATION1 because its quite a nice area  	-1	 I would therefore pick LOCATION1 because its quite a nice area   [SEP] LOCATION1
3422	1366	charger	Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	-1	Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running. [SEP] charger
302	302	LOCATION2	Dont go LOCATION2 to stay,  you will seriously find LOCATION1 a lot richer and  with the great transport links	-1	Dont go LOCATION2 to stay,  you will seriously find LOCATION1 a lot richer and  with the great transport links [SEP] LOCATION2
5217	3161	portions	My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.	1	My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions. [SEP] portions
3789	1733	waiters	The waiters were not attentive except that the bill turned up on the table before we were finished.	-1	The waiters were not attentive except that the bill turned up on the table before we were finished. [SEP] waiters
3919	1863	waitress	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.	1	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd. [SEP] waitress
4346	2290	food	The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.	1	The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine. [SEP] food
772	772	LOCATION1	LOCATION1 isnt too bad,  with good public transport and the usual urban facilities	1	LOCATION1 isnt too bad,  with good public transport and the usual urban facilities [SEP] LOCATION1
1474	1474	LOCATION1	  I live in LOCATION2 and would really recommend it or the surrounding areas ( LOCATION1)	1	  I live in LOCATION2 and would really recommend it or the surrounding areas ( LOCATION1) [SEP] LOCATION1
3946	1890	steak	The menu was impressive with selections ranging from a burger, to steak, to escargot.	0	The menu was impressive with selections ranging from a burger, to steak, to escargot. [SEP] steak
53	53	LOCATION1	 (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops	1	 (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops [SEP] LOCATION1
5314	3258	salads	you can actually get 2 salads worth if u take it home and add it to some lettuce!	-1	you can actually get 2 salads worth if u take it home and add it to some lettuce! [SEP] salads
64	64	LOCATION2	 Hmm LOCATION1 and LOCATION2 are improving areas	1	 Hmm LOCATION1 and LOCATION2 are improving areas [SEP] LOCATION2
3586	1530	BBQ Salmon	Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.	1	Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck. [SEP] BBQ Salmon
2454	398	gaming	It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.	1	It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming. [SEP] gaming
5930	3874	quantity	The prices cannot be beat for the quality, quantity, freshness and taste.	1	The prices cannot be beat for the quality, quantity, freshness and taste. [SEP] quantity
697	697	LOCATION1	LOCATION1 is largely downmarket and very racially mixed , and so is much of LOCATION2	-1	LOCATION1 is largely downmarket and very racially mixed , and so is much of LOCATION2 [SEP] LOCATION1
2369	313	program	I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.	1	I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file. [SEP] program
2700	644	price	The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	-1	The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it. [SEP] price
3135	1079	screen	Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.	0	Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose. [SEP] screen
5689	3633	food	I care more about the food and ambience.	0	I care more about the food and ambience. [SEP] food
5277	3221	food	The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	1	The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like. [SEP] food
5739	3683	owner	The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.	1	The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly. [SEP] owner
